generator_id,degree_id,generator_index,parity,signed_contribution,fibre_size,source_reference,check_status,notes
xi_delta123_024,delta123,24,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_025,delta123,25,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_026,delta123,26,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_027,delta123,27,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_028,delta123,28,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_029,delta123,29,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_030,delta123,30,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_031,delta123,31,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_032,delta123,32,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_033,delta123,33,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_034,delta123,34,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_035,delta123,35,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_036,delta123,36,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_037,delta123,37,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_038,delta123,38,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_039,delta123,39,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_040,delta123,40,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_041,delta123,41,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_042,delta123,42,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_043,delta123,43,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_044,delta123,44,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_045,delta123,45,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_046,delta123,46,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_047,delta123,47,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_048,delta123,48,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_049,delta123,49,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_050,delta123,50,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_051,delta123,51,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_052,delta123,52,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_053,delta123,53,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_054,delta123,54,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_055,delta123,55,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_056,delta123,56,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_057,delta123,57,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_058,delta123,58,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_059,delta123,59,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_060,delta123,60,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_061,delta123,61,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_062,delta123,62,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_063,delta123,63,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_064,delta123,64,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_065,delta123,65,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_066,delta123,66,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_067,delta123,67,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_068,delta123,68,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_069,delta123,69,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_070,delta123,70,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_071,delta123,71,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_072,delta123,72,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_073,delta123,73,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_074,delta123,74,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_075,delta123,75,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_076,delta123,76,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_077,delta123,77,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_078,delta123,78,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_079,delta123,79,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_080,delta123,80,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_081,delta123,81,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_082,delta123,82,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_083,delta123,83,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_084,delta123,84,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_085,delta123,85,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_086,delta123,86,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_087,delta123,87,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_088,delta123,88,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_089,delta123,89,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_090,delta123,90,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_091,delta123,91,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_092,delta123,92,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
xi_delta123_093,delta123,93,odd,-1,93,GN negative-norm imaginary-simple fibre; wle3 target parity packet,verified,odd imaginary-simple generator in degree delta123
