terminal_degree_id,source_check_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,terminal_in_base,source_obligation_count,missing_nonzero_subdegree_count,missing_nonzero_subdegree_ids,proof_reference,check_status,notes
beta_1_11_8,dlrsse_delta_2_beta_1_8_8,1,11,8,1,4,11,20,-56,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_12_7,dlrsse_delta_2_beta_1_5_7,1,12,7,1,6,12,20,-24,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_1_11,dlrsse_delta_3_beta_8_1_8,8,1,11,8,-2,1,20,-56,556416,true,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_9_0_11,dlrsse_delta_3_beta_9_0_8,9,0,11,9,-2,0,20,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_11_0_9,dlrsse_delta_1_beta_8_0_9,11,0,9,11,2,0,20,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_11_1_8,dlrsse_delta_1_beta_8_1_8,11,1,8,11,4,1,20,-56,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_12_1_7,dlrsse_delta_1_beta_5_1_7,12,1,7,12,6,1,20,-24,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_8_12,dlrsse_delta_3_beta_1_8_7,1,8,12,1,-3,8,21,-46,-141826,true,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_12_8,dlrsse_delta_2_beta_1_7_8,1,12,8,1,5,12,21,-46,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_1_12,dlrsse_delta_3_beta_8_1_7,8,1,12,8,-3,1,21,-46,-141826,true,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_12_1_8,dlrsse_delta_1_beta_7_1_8,12,1,8,12,5,1,21,-46,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_0_10_12,dlrsse_delta_3_beta_0_10_9,0,10,12,0,-2,10,22,8,0,false,1,1,beta_0_10_11,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_0_12_10,dlrsse_delta_2_beta_0_9_10,0,12,10,0,2,12,22,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_13_8,dlrsse_delta_2_beta_1_6_8,1,13,8,1,6,13,22,-32,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_10_0_12,dlrsse_delta_3_beta_10_0_9,10,0,12,10,-2,0,22,8,0,false,1,1,beta_10_0_11,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_12_0_10,dlrsse_delta_1_beta_9_0_10,12,0,10,12,2,0,22,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_13_1_8,dlrsse_delta_1_beta_6_1_8,13,1,8,13,6,1,22,-32,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_13_9,dlrsse_delta_2_beta_1_8_9,1,13,9,1,5,13,23,-54,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_13_1_9,dlrsse_delta_1_beta_8_1_9,13,1,9,13,5,1,23,-54,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_0_11_13,dlrsse_delta_3_beta_0_11_10,0,11,13,0,-2,11,24,8,0,false,1,3,beta_0_10_11;beta_0_11_11;beta_0_11_12,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_14_9,dlrsse_delta_2_beta_1_7_9,1,14,9,1,6,14,24,-40,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_11_0_13,dlrsse_delta_3_beta_11_0_10,11,0,13,11,-2,0,24,8,0,false,1,3,beta_10_0_11;beta_11_0_11;beta_11_0_12,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_14_1_9,dlrsse_delta_1_beta_7_1_9,14,1,9,14,6,1,24,-40,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_15_10,dlrsse_delta_2_beta_1_8_10,1,15,10,1,6,15,26,-48,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_15_1_10,dlrsse_delta_1_beta_8_1_10,15,1,10,15,6,1,26,-48,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_16_10,dlrsse_delta_2_beta_1_7_10,1,16,10,1,7,16,27,-30,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_16_1_10,dlrsse_delta_1_beta_7_1_10,16,1,10,16,7,1,27,-30,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_17_11,dlrsse_delta_2_beta_1_8_11,1,17,11,1,7,17,29,-38,0,false,1,3,beta_0_10_11;beta_0_11_11;beta_0_12_11,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_17_1_11,dlrsse_delta_1_beta_8_1_11,17,1,11,17,7,1,29,-38,0,false,1,3,beta_10_0_11;beta_11_0_11;beta_12_0_11,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_1_19_12,dlrsse_delta_2_beta_1_8_12,1,19,12,1,8,19,32,-24,0,false,1,6,beta_0_10_11;beta_0_11_11;beta_0_11_12;beta_0_12_11;beta_0_12_12;beta_0_13_12,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_19_1_12,dlrsse_delta_1_beta_8_1_12,19,1,12,19,8,1,32,-24,0,false,1,6,beta_10_0_11;beta_11_0_11;beta_11_0_12;beta_12_0_11;beta_12_0_12;beta_13_0_12,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_5_24_7,dlrsse_delta_2_beta_5_1_7,5,24,7,5,22,24,36,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_24_5_7,dlrsse_delta_1_beta_1_5_7,24,5,7,24,22,5,36,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_6_26_7,dlrsse_delta_2_beta_6_1_7,6,26,7,6,25,26,39,2,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_26_6_7,dlrsse_delta_1_beta_1_6_7,26,6,7,26,25,6,39,2,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_6_27_7,dlrsse_delta_2_beta_6_0_7,6,27,7,6,26,27,40,56,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_27_6_7,dlrsse_delta_1_beta_0_6_7,27,6,7,27,26,6,40,56,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_6_28_8,dlrsse_delta_2_beta_6_1_8,6,28,8,6,26,28,42,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_7_28_7,dlrsse_delta_2_beta_7_1_7,7,28,7,7,28,28,42,0,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_28_6_8,dlrsse_delta_1_beta_1_6_8,28,6,8,28,26,6,42,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_28_7_7,dlrsse_delta_1_beta_1_7_7,28,7,7,28,28,7,42,0,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_7_29_7,dlrsse_delta_2_beta_7_0_7,7,29,7,7,29,29,43,58,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_29_7_7,dlrsse_delta_1_beta_0_7_7,29,7,7,29,29,7,43,58,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_7_30_8,dlrsse_delta_2_beta_7_1_8,7,30,8,7,29,30,45,2,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_30_7,dlrsse_delta_2_beta_8_1_7,8,30,7,8,31,30,45,2,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_30_7_8,dlrsse_delta_1_beta_1_7_8,30,7,8,30,29,7,45,2,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_30_8_7,dlrsse_delta_1_beta_1_8_7,30,8,7,30,31,8,45,2,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_7_31_8,dlrsse_delta_2_beta_7_0_8,7,31,8,7,30,31,46,64,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_31_7,dlrsse_delta_2_beta_8_0_7,8,31,7,8,32,31,46,64,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_31_7_8,dlrsse_delta_1_beta_0_7_8,31,7,8,31,30,7,46,64,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_31_8_7,dlrsse_delta_1_beta_0_8_7,31,8,7,31,32,8,46,64,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_7_32_9,dlrsse_delta_2_beta_7_1_9,7,32,9,7,30,32,48,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_32_8,dlrsse_delta_2_beta_8_1_8,8,32,8,8,32,32,48,0,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_32_7_9,dlrsse_delta_1_beta_1_7_9,32,7,9,32,30,7,48,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_32_8_8,dlrsse_delta_1_beta_1_8_8,32,8,8,32,32,8,48,0,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_33_8,dlrsse_delta_2_beta_8_0_8,8,33,8,8,33,33,49,66,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_33_8_8,dlrsse_delta_1_beta_0_8_8,33,8,8,33,33,8,49,66,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_7_34_10,dlrsse_delta_2_beta_7_1_10,7,34,10,7,31,34,51,18,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_34_9,dlrsse_delta_2_beta_8_1_9,8,34,9,8,33,34,51,2,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_34_7_10,dlrsse_delta_1_beta_1_7_10,34,7,10,34,31,7,51,18,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_34_8_9,dlrsse_delta_1_beta_1_8_9,34,8,9,34,33,8,51,2,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_35_9,dlrsse_delta_2_beta_8_0_9,8,35,9,8,34,35,52,72,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_9_35_8,dlrsse_delta_2_beta_9_0_8,9,35,8,9,36,35,52,72,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_35_8_9,dlrsse_delta_1_beta_0_8_9,35,8,9,35,34,8,52,72,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_35_9_8,dlrsse_delta_1_beta_0_9_8,35,9,8,35,36,9,52,72,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_36_10,dlrsse_delta_2_beta_8_1_10,8,36,10,8,34,36,54,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_36_8_10,dlrsse_delta_1_beta_1_8_10,36,8,10,36,34,8,54,8,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_9_37_9,dlrsse_delta_2_beta_9_0_9,9,37,9,9,37,37,55,74,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_37_9_9,dlrsse_delta_1_beta_0_9_9,37,9,9,37,37,9,55,74,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_8_38_11,dlrsse_delta_2_beta_8_1_11,8,38,11,8,35,38,57,18,0,false,1,3,beta_0_10_11;beta_0_11_11;beta_0_12_11,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_38_8_11,dlrsse_delta_1_beta_1_8_11,38,8,11,38,35,8,57,18,0,false,1,3,beta_10_0_11;beta_11_0_11;beta_12_0_11,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_9_39_10,dlrsse_delta_2_beta_9_0_10,9,39,10,9,38,39,58,80,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
beta_10_39_9,dlrsse_delta_2_beta_10_0_9,10,39,9,10,40,39,58,80,0,false,1,0,,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_terminal_rows,verified,distinct real-string terminal degree after the 50-row saturation extension; target-degree audit only
