degree_id,parent_terminal_degree_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,additive_m,parent_terminal_count,defect_occurrence_count,coverage_role,proof_reference,check_status,notes
beta_1_6_8,beta_1_15_8;beta_1_6_10;beta_1_6_11;beta_1_6_12;beta_1_6_9;beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_21_8;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,1,6,8,1,-1,6,15,-46,-141826,-900,20,20,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_7_7,beta_1_13_7;beta_1_15_8;beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_15_7;beta_2_16_7;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_19_7;beta_3_21_8;beta_4_21_7;beta_4_22_7;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,1,7,7,1,1,7,15,-54,-427264,-3240,22,22,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_6_1_8,beta_15_1_8;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_21_2_10;beta_21_3_8;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_6_1_10;beta_6_1_11;beta_6_1_12;beta_6_1_9;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,6,1,8,6,-1,1,15,-46,-141826,-900,20,20,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_7_0_8,beta_15_1_8;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_21_2_10;beta_21_3_8;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_7_0_9;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,7,0,8,7,-1,0,15,2,1,-99,17,17,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_7_1_7,beta_13_1_7;beta_15_1_8;beta_15_2_7;beta_16_2_7;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_19_3_7;beta_21_2_10;beta_21_3_8;beta_21_4_7;beta_22_4_7;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,7,1,7,7,1,1,15,-54,-427264,-3240,22,22,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_8_0_7,beta_13_1_7;beta_15_1_8;beta_15_2_7;beta_16_2_7;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_19_3_7;beta_21_2_10;beta_21_3_8;beta_21_4_7;beta_22_4_7;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_8_1_13;beta_8_1_14;beta_8_1_15,8,0,7,8,1,0,15,2,1,-99,19,19,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_8_8,beta_1_15_8;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_21_8;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,0,8,8,0,0,8,16,0,10,189,13,13,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_7_8,beta_1_15_8;beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_21_8;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,1,7,8,1,0,7,16,-56,556416,297,16,16,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_8_7,beta_1_13_7;beta_1_15_8;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_15_7;beta_2_16_7;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_19_7;beta_3_21_8;beta_4_21_7;beta_4_22_7;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,1,8,7,1,2,8,16,-56,556416,297,19,19,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_7_1_8,beta_15_1_8;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_21_2_10;beta_21_3_8;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,7,1,8,7,0,1,16,-56,556416,297,16,16,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_8_0_8,beta_15_1_8;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_21_2_10;beta_21_3_8;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_8_1_13;beta_8_1_14;beta_8_1_15,8,0,8,8,0,0,16,0,10,189,13,13,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_8_1_7,beta_13_1_7;beta_15_1_8;beta_15_2_7;beta_16_2_7;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_19_3_7;beta_21_2_10;beta_21_3_8;beta_21_4_7;beta_22_4_7;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_8_1_13;beta_8_1_14;beta_8_1_15,8,1,7,8,2,1,16,-56,556416,297,19,19,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_8_9,beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_19_9;beta_2_21_10;beta_4_25_9;beta_4_27_10,0,8,9,0,-1,8,17,2,1,-189,7,7,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_9_8,beta_1_15_8;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_21_8;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,0,9,8,0,1,9,17,2,1,-189,10,10,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_7_9,beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_19_9;beta_2_21_10;beta_4_25_9;beta_4_27_10,1,7,9,1,-1,7,17,-54,-427264,-297,10,10,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_8_8,beta_1_15_8;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_17_8;beta_2_18_8;beta_2_19_9;beta_2_21_10;beta_3_21_8;beta_4_23_8;beta_4_24_8;beta_4_25_9;beta_4_27_10,1,8,8,1,1,8,17,-62,-1201149,2700,13,13,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_7_1_9,beta_19_2_9;beta_21_2_10;beta_25_4_9;beta_27_4_10;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,7,1,9,7,-1,1,17,-54,-427264,-297,10,10,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_8_0_9,beta_19_2_9;beta_21_2_10;beta_25_4_9;beta_27_4_10;beta_8_1_13;beta_8_1_14;beta_8_1_15,8,0,9,8,-1,0,17,2,1,-189,7,7,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_8_1_8,beta_15_1_8;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_21_2_10;beta_21_3_8;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10;beta_8_1_13;beta_8_1_14;beta_8_1_15,8,1,8,8,1,1,17,-62,-1201149,2700,13,13,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_9_0_8,beta_15_1_8;beta_17_2_8;beta_18_2_8;beta_19_2_9;beta_21_2_10;beta_21_3_8;beta_23_4_8;beta_24_4_8;beta_25_4_9;beta_27_4_10,9,0,8,9,1,0,17,2,1,-189,10,10,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_9_9,beta_2_19_9;beta_2_21_10;beta_4_25_9;beta_4_27_10,0,9,9,0,0,9,18,0,10,85,4,4,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_7_10,beta_1_7_11;beta_1_7_12;beta_1_7_13;beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_21_10;beta_4_27_10,1,7,10,1,-2,7,18,-48,188304,3240,8,8,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_8_9,beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_19_9;beta_2_21_10;beta_4_25_9;beta_4_27_10,1,8,9,1,0,8,18,-64,1541096,1764,7,7,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_7_1_10,beta_21_2_10;beta_27_4_10;beta_7_1_11;beta_7_1_12;beta_7_1_13;beta_8_1_13;beta_8_1_14;beta_8_1_15,7,1,10,7,-2,1,18,-48,188304,3240,8,8,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_8_1_9,beta_19_2_9;beta_21_2_10;beta_25_4_9;beta_27_4_10;beta_8_1_13;beta_8_1_14;beta_8_1_15,8,1,9,8,0,1,18,-64,1541096,1764,7,7,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_9_0_9,beta_19_2_9;beta_21_2_10;beta_25_4_9;beta_27_4_10,9,0,9,9,0,0,18,0,10,85,4,4,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_9_10,beta_2_21_10;beta_4_27_10,0,9,10,0,-1,9,19,2,1,-85,2,2,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_10_9,beta_2_19_9;beta_2_21_10;beta_4_25_9;beta_4_27_10,0,10,9,0,1,10,19,2,1,-85,4,4,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_8_10,beta_1_8_13;beta_1_8_14;beta_1_8_15;beta_2_21_10;beta_4_27_10,1,8,10,1,-1,8,19,-62,-1201149,-1764,5,5,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_8_1_10,beta_21_2_10;beta_27_4_10;beta_8_1_13;beta_8_1_14;beta_8_1_15,8,1,10,8,-1,1,19,-62,-1201149,-1764,5,5,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_9_0_10,beta_21_2_10;beta_27_4_10,9,0,10,9,-1,0,19,2,1,-85,2,2,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_10_0_9,beta_19_2_9;beta_21_2_10;beta_25_4_9;beta_27_4_10,10,0,9,10,1,0,19,2,1,-85,4,4,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_10_10,beta_2_21_10;beta_4_27_10,0,10,10,0,0,10,20,0,10,-657,2,2,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_8_11,beta_1_8_13;beta_1_8_14;beta_1_8_15,1,8,11,1,-2,8,20,-56,556416,-2700,3,3,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_8_1_11,beta_8_1_13;beta_8_1_14;beta_8_1_15,8,1,11,8,-2,1,20,-56,556416,-2700,3,3,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_10_0_10,beta_21_2_10;beta_27_4_10,10,0,10,10,0,0,20,0,10,-657,2,2,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_0_11_10,beta_2_21_10;beta_4_27_10,0,11,10,0,1,11,21,2,1,657,2,2,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_1_8_12,beta_1_8_13;beta_1_8_14;beta_1_8_15,1,8,12,1,-3,8,21,-46,-141826,-297,3,3,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_8_1_12,beta_8_1_13;beta_8_1_14;beta_8_1_15,8,1,12,8,-3,1,21,-46,-141826,-297,3,3,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
beta_11_0_10,beta_21_2_10;beta_27_4_10,11,0,10,11,1,0,21,2,1,657,2,2,defect_layer_real_string_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_rows,verified,nonzero proper subdegree forced by adjoining the 206-row terminal layer; target-degree audit only
