check_id,real_root_id,extension_degree_id,extension_beta_c1,extension_beta_c2,extension_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_additive_m,terminal_in_w85,relation_payload_status,proof_reference,check_status,notes
tlse_delta_2_beta_0_2_3,delta_2,beta_0_2_3,0,2,3,-2,3,0,5,3,0,2,5,8,8,0,-27,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_1_3,delta_1,beta_2_1_3,2,1,3,-4,5,7,1,3,7,5,1,11,-6,-64,-99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_3_1,delta_1,beta_2_3_1,2,3,1,-4,5,7,3,1,7,9,3,11,-6,0,-191,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_3_1_2,delta_3,beta_3_1_2,3,1,2,-4,5,3,1,7,3,-3,1,11,-6,-64,-99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_3_2_1,delta_2,beta_3_2_1,3,2,1,-4,5,3,7,1,3,9,7,11,-6,0,-191,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_1_2_4,delta_2,beta_1_2_4,1,2,4,-6,7,1,9,4,1,6,9,14,0,0,89,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_1_4_2,delta_3,beta_1_4_2,1,4,2,-6,7,1,4,9,1,-4,4,14,0,10,99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_1_4,delta_1,beta_2_1_4,2,1,4,-6,7,9,1,4,9,6,1,14,0,0,89,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_2_3,delta_1,beta_2_2_3,2,2,3,-6,7,9,2,3,9,8,2,14,-16,0,-10731,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_2_2_3,delta_2,beta_2_2_3,2,2,3,-6,7,2,9,3,2,8,9,14,-16,0,-10731,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_3_2,delta_1,beta_2_3_2,2,3,2,-6,7,9,3,2,9,10,3,14,-16,0,-2008,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_2_3_2,delta_3,beta_2_3_2,2,3,2,-6,7,2,3,9,2,-4,3,14,-16,808,162,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_4_1,delta_1,beta_2_4_1,2,4,1,-6,7,9,4,1,9,12,4,14,0,0,334,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_3_2_2,delta_2,beta_3_2_2,3,2,2,-6,7,3,9,2,3,10,9,14,-16,0,-2008,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_3_2_2,delta_3,beta_3_2_2,3,2,2,-6,7,3,2,9,3,-4,2,14,-16,808,162,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_4_1_2,delta_3,beta_4_1_2,4,1,2,-6,7,4,1,9,4,-4,1,14,0,10,99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_4_2_1,delta_2,beta_4_2_1,4,2,1,-6,7,4,9,1,4,12,9,14,0,0,334,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_1_2_3,delta_1,beta_1_2_3,1,2,3,-8,9,10,2,3,10,9,2,15,2,0,1140,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_1_3_2,delta_1,beta_1_3_2,1,3,2,-8,9,10,3,2,10,11,3,15,2,0,316,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_2_1_3,delta_2,beta_2_1_3,2,1,3,-8,9,2,10,3,2,9,10,15,2,0,1140,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_2_3_1,delta_3,beta_2_3_1,2,3,1,-8,9,2,3,10,2,-5,3,15,2,1,-99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_3_1_2,delta_2,beta_3_1_2,3,1,2,-8,9,3,10,2,3,11,10,15,2,0,316,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_3_2_1,delta_3,beta_3_2_1,3,2,1,-8,9,3,2,10,3,-5,2,15,2,1,-99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_0_2_3,delta_1,beta_0_2_3,0,2,3,-10,11,11,2,3,11,10,2,16,24,0,-36,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_0_3_2,delta_1,beta_0_3_2,0,3,2,-10,11,11,3,2,11,12,3,16,24,0,-45,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_2_0_3,delta_2,beta_2_0_3,2,0,3,-10,11,2,11,3,2,10,11,16,24,0,-36,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_2_3_0,delta_3,beta_2_3_0,2,3,0,-10,11,2,3,11,2,-6,3,16,24,0,-27,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_3_0_2,delta_2,beta_3_0_2,3,0,2,-10,11,3,11,2,3,12,11,16,24,0,-45,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_3_2_0,delta_3,beta_3_2_0,3,2,0,-10,11,3,2,11,3,-6,2,16,24,0,-27,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_2_4,delta_1,beta_2_2_4,2,2,4,-8,9,11,2,4,11,9,2,17,-14,0,17058,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_2_2_4,delta_2,beta_2_2_4,2,2,4,-8,9,2,11,4,2,9,11,17,-14,0,17058,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_4_2,delta_1,beta_2_4_2,2,4,2,-8,9,11,4,2,11,13,4,17,-14,0,279,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_2_4_2,delta_3,beta_2_4_2,2,4,2,-8,9,2,4,11,2,-5,4,17,-14,-513,-135,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_4_2_2,delta_2,beta_4_2_2,4,2,2,-8,9,4,11,2,4,13,11,17,-14,0,279,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_4_2_2,delta_3,beta_4_2_2,4,2,2,-8,9,4,2,11,4,-5,2,17,-14,-513,-135,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_1_2_4,delta_1,beta_1_2_4,1,2,4,-10,11,12,2,4,12,10,2,18,8,0,-1150,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_1_4_2,delta_1,beta_1_4_2,1,4,2,-10,11,12,4,2,12,14,4,18,8,0,414,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_2_1_4,delta_2,beta_2_1_4,2,1,4,-10,11,2,12,4,2,10,12,18,8,0,-1150,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_2_4_1,delta_3,beta_2_4_1,2,4,1,-10,11,2,4,12,2,-6,4,18,8,0,99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_4_1_2,delta_2,beta_4_1_2,4,1,2,-10,11,4,12,2,4,14,12,18,8,0,414,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_3_beta_4_2_1,delta_3,beta_4_2_1,4,2,1,-10,11,4,2,12,4,-6,2,18,8,0,99,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_2_5,delta_1,beta_2_2_5,2,2,5,-10,11,13,2,5,13,10,2,20,-8,0,-16326,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_2_2_5,delta_2,beta_2_2_5,2,2,5,-10,11,2,13,5,2,10,13,20,-8,0,-16326,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_1_beta_2_2_6,delta_1,beta_2_2_6,2,2,6,-12,13,15,2,6,15,11,2,23,2,0,8857,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
tlse_delta_2_beta_2_2_6,delta_2,beta_2_2_6,2,2,6,-12,13,2,15,6,2,11,15,23,2,0,8857,false,terminal_codomains_missing_from_W85,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_expected_obligations,verified,conditional real-string terminal audit if the terminal-layer saturation-extension row is promoted to a target generator; not a compact-source representative
