check_id,real_root_id,defect_degree_id,defect_beta_c1,defect_beta_c2,defect_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_additive_m,terminal_in_base,relation_payload_status,proof_reference,check_status,notes
dlrs_delta_3_beta_0_4_3,delta_3,beta_0_4_3,0,4,3,-2,3,0,4,6,0,-2,4,10,8,0,12,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_3_2_4,delta_3,beta_3_2_4,3,2,4,-2,3,3,2,7,3,-2,2,12,-40,58640,-495,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_4_1_4,delta_3,beta_4_1_4,4,1,4,-2,3,4,1,7,4,-2,1,12,-24,4016,-594,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_5_0_4,delta_3,beta_5_0_4,5,0,4,-2,3,5,0,7,5,-2,0,12,8,0,90,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_0_5,delta_1,beta_4_0_5,4,0,5,-2,3,7,0,5,7,2,0,12,8,0,90,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_1_4,delta_1,beta_4_1_4,4,1,4,-2,3,7,1,4,7,4,1,12,-24,4016,-594,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_2_3,delta_1,beta_4_2_3,4,2,3,-2,3,7,2,3,7,6,2,12,-40,0,-62280,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_4_3,delta_3,beta_1_4_3,1,4,3,-4,5,1,4,8,1,-3,4,13,-14,-513,657,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_3_4,delta_2,beta_1_3_4,1,3,4,-4,5,1,8,4,1,5,8,13,-14,-513,657,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_2_3_3,delta_3,beta_2_3_3,2,3,3,-4,5,2,3,8,2,-3,3,13,-30,-11775,-810,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_3_3,delta_2,beta_2_3_3,2,3,3,-4,5,2,8,3,2,7,8,13,-30,0,43518,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_3_2_3,delta_3,beta_3_2_3,3,2,3,-4,5,3,2,8,3,-3,2,13,-30,-11775,-810,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_4_1_3,delta_3,beta_4_1_3,4,1,3,-4,5,4,1,8,4,-3,1,13,-14,-513,657,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_1_4,delta_1,beta_3_1_4,3,1,4,-4,5,8,1,4,8,5,1,13,-14,-513,657,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_2_3,delta_1,beta_3_2_3,3,2,3,-4,5,8,2,3,8,7,2,13,-30,0,43518,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_0_6_5,delta_3,beta_0_6_5,0,6,5,-2,3,0,6,8,0,-2,6,14,8,0,-135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_0_5_6,delta_2,beta_0_5_6,0,5,6,-2,3,0,8,6,0,2,8,14,8,0,-135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_5_5,delta_3,beta_1_5_5,1,5,5,-2,3,1,5,8,1,-2,5,14,-32,16524,-702,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_5_5,delta_2,beta_1_5_5,1,5,5,-2,3,1,8,5,1,4,8,14,-32,16524,-702,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_2_4_5,delta_3,beta_2_4_5,2,4,5,-2,3,2,4,8,2,-2,4,14,-56,556416,1053,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_4_2_5,delta_3,beta_4_2_5,4,2,5,-2,3,4,2,8,4,-2,2,14,-56,556416,1053,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_5_1_5,delta_3,beta_5_1_5,5,1,5,-2,3,5,1,8,5,-2,1,14,-32,16524,-702,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_6_0_5,delta_3,beta_6_0_5,6,0,5,-2,3,6,0,8,6,-2,0,14,8,0,-135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_5_0_6,delta_1,beta_5_0_6,5,0,6,-2,3,8,0,6,8,2,0,14,8,0,-135,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_5_1_5,delta_1,beta_5_1_5,5,1,5,-2,3,8,1,5,8,4,1,14,-32,16524,-702,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_5_4,delta_3,beta_1_5_4,1,5,4,-4,5,1,5,9,1,-3,5,15,-22,-2752,-171,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_4_5,delta_2,beta_1_4_5,1,4,5,-4,5,1,9,5,1,5,9,15,-22,0,2591,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_2_4_4,delta_3,beta_2_4_4,2,4,4,-4,5,2,4,9,2,-3,4,15,-46,-141826,-900,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_4_4,delta_2,beta_2_4_4,2,4,4,-4,5,2,9,4,2,7,9,15,-46,0,221185,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_4_2_4,delta_3,beta_4_2_4,4,2,4,-4,5,4,2,9,4,-3,2,15,-46,-141826,-900,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_5_1_4,delta_3,beta_5_1_4,5,1,4,-4,5,5,1,9,5,-3,1,15,-22,-2752,-171,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_1_5,delta_1,beta_4_1_5,4,1,5,-4,5,9,1,5,9,5,1,15,-22,0,2591,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_2_4,delta_1,beta_4_2_4,4,2,4,-4,5,9,2,4,9,7,2,15,-46,0,221185,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_0_7_6,delta_3,beta_0_7_6,0,7,6,-2,3,0,7,9,0,-2,7,16,8,0,-54,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_5_3,delta_3,beta_1_5_3,1,5,3,-6,7,1,5,10,1,-4,5,16,-8,108,-657,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_6_6,delta_3,beta_1_6_6,1,6,6,-2,3,1,6,9,1,-2,6,16,-40,58640,673,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_6_6,delta_2,beta_1_6_6,1,6,6,-2,3,1,9,6,1,4,9,16,-40,0,-60719,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_3_5,delta_2,beta_1_3_5,1,3,5,-6,7,1,10,5,1,6,10,16,-8,0,-3427,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_2_4_3,delta_3,beta_2_4_3,2,4,3,-6,7,2,4,10,2,-4,4,16,-32,16524,-495,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_3_4,delta_2,beta_2_3_4,2,3,4,-6,7,2,10,4,2,8,10,16,-32,0,-85052,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_4_2_3,delta_3,beta_4_2_3,4,2,3,-6,7,4,2,10,4,-4,2,16,-32,16524,-495,true,terminal_codomains_in_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_5_1_3,delta_3,beta_5_1_3,5,1,3,-6,7,5,1,10,5,-4,1,16,-8,108,-657,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_6_1_6,delta_3,beta_6_1_6,6,1,6,-2,3,6,1,9,6,-2,1,16,-40,58640,673,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_7_0_6,delta_3,beta_7_0_6,7,0,6,-2,3,7,0,9,7,-2,0,16,8,0,-54,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_6_1_6,delta_1,beta_6_1_6,6,1,6,-2,3,9,1,6,9,4,1,16,-40,0,-60719,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_1_5,delta_1,beta_3_1_5,3,1,5,-6,7,10,1,5,10,6,1,16,-8,0,-3427,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_3_2_4,delta_1,beta_3_2_4,3,2,4,-6,7,10,2,4,10,8,2,16,-32,0,-85052,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_6_5,delta_3,beta_1_6_5,1,6,5,-4,5,1,6,10,1,-3,6,17,-30,-11775,495,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_5_6,delta_2,beta_1_5_6,1,5,6,-4,5,1,10,6,1,5,10,17,-30,0,46160,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_2_3,delta_2,beta_3_2_3,3,2,3,-8,9,3,11,3,3,11,11,17,-22,0,-25497,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_6_1_5,delta_3,beta_6_1_5,6,1,5,-4,5,6,1,10,6,-3,1,17,-30,-11775,495,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_5_1_6,delta_1,beta_5_1_6,5,1,6,-4,5,10,1,6,10,5,1,17,-30,0,46160,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_2_3_3,delta_1,beta_2_3_3,2,3,3,-8,9,11,3,3,11,11,3,17,-22,0,-25497,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_6_4,delta_3,beta_1_6_4,1,6,4,-6,7,1,6,11,1,-4,6,18,-16,808,171,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_4_6,delta_2,beta_1_4_6,1,4,6,-6,7,1,11,6,1,6,11,18,-16,0,13058,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_4_5,delta_2,beta_2_4_5,2,4,5,-6,7,2,11,5,2,8,11,18,-48,0,-418254,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_3_1_3,delta_2,beta_3_1_3,3,1,3,-10,11,3,12,3,3,12,12,18,0,0,2118,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_6_1_4,delta_3,beta_6_1_4,6,1,4,-6,7,6,1,11,6,-4,1,18,-16,808,171,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_1_6,delta_1,beta_4_1_6,4,1,6,-6,7,11,1,6,11,6,1,18,-16,0,13058,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_4_2_5,delta_1,beta_4_2_5,4,2,5,-6,7,11,2,5,11,8,2,18,-48,0,-418254,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_1_beta_1_3_3,delta_1,beta_1_3_3,1,3,3,-10,11,12,3,3,12,12,3,18,0,0,2118,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_6_3,delta_3,beta_1_6_3,1,6,3,-8,9,1,6,12,1,-5,6,19,2,1,-85,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_3_beta_1_7_6,delta_3,beta_1_7_6,1,7,6,-4,5,1,7,11,1,-3,7,19,-38,-43200,-900,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_1_3_6,delta_2,beta_1_3_6,1,3,6,-8,9,1,12,6,1,7,12,19,2,0,2772,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
dlrs_delta_2_beta_2_3_5,delta_2,beta_2_3_5,2,3,5,-8,9,2,12,5,2,9,12,19,-30,0,122890,false,terminal_codomains_missing_from_W237,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_expected_obligations,verified,real-string terminal forced by promoting a 98-row defect-layer degree; target-degree audit only
