degree_id,parent_terminal_degree_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,additive_m,parent_terminal_count,defect_occurrence_count,coverage_role,proof_reference,check_status,notes
beta_1_4_2,beta_1_5_2;beta_1_6_2;beta_2_7_2;beta_2_8_2;beta_2_9_2,1,4,2,1,3,4,7,-14,-513,-99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_1_4,beta_2_1_5;beta_2_1_6;beta_2_2_7;beta_2_2_8;beta_2_2_9,2,1,4,2,-1,1,7,-14,-513,-99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_2_3,beta_2_2_7;beta_2_2_8;beta_2_2_9,2,2,3,2,1,2,7,-30,-11775,-162,3,3,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_3_2,beta_2_7_2;beta_2_8_2;beta_2_9_2,2,3,2,2,3,3,7,-30,-11775,-162,3,3,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_4_1,beta_2_5_1;beta_2_6_1;beta_2_7_2;beta_2_8_2;beta_2_9_2,2,4,1,2,5,4,7,-14,-513,-99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_3_2_2,beta_7_2_2;beta_8_2_2;beta_9_2_2,3,2,2,3,3,2,7,-30,-11775,-162,3,3,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_4_1_2,beta_5_1_2;beta_6_1_2;beta_7_2_2;beta_8_2_2;beta_9_2_2,4,1,2,4,3,1,7,-14,-513,-99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_4_2_1,beta_5_2_1;beta_6_2_1;beta_7_2_2;beta_8_2_2;beta_9_2_2,4,2,1,4,5,2,7,-14,-513,-99,5,5,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_2_4,beta_2_2_7;beta_2_2_8;beta_2_2_9,2,2,4,2,0,2,8,-32,16524,135,3,3,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_4_2,beta_2_7_2;beta_2_8_2;beta_2_9_2,2,4,2,2,4,4,8,-32,16524,135,3,3,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_4_2_2,beta_7_2_2;beta_8_2_2;beta_9_2_2,4,2,2,4,4,2,8,-32,16524,135,3,3,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_2_5,beta_2_2_7;beta_2_2_8;beta_2_2_9,2,2,5,2,-1,2,9,-30,-11775,-135,3,3,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
beta_2_2_6,beta_2_2_7;beta_2_2_8;beta_2_2_9,2,2,6,2,-2,2,10,-24,4016,162,3,3,terminal_layer_downward_saturation_extension,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_extension_expected_rows,verified,minimal downward-saturation row forced by the post-saturation terminal layer; not a compact-source representative
