obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
chevalley_antiinvolution_source_map,orientation,source_Chevalley_antiinvolution,certificates/orientation/rhomred_orientation_chevalley_antiinvolution/chevalley_antiinvolution_rows.csv,antiinvolution_row,source_antiinvolution_adjoint_for_pairing,row334_is_required_for_orientation_adjointness_but_not_supplied,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_Chevalley_antiinvolution_rows_supplied
orientation_pairing_line,orientation_line,orientation_pairing_line,frobenius_pairing_rows.csv,orientation_pairing_line,Picard_groupoid_pairing_line_with_orientation_factors,Frobenius_claim_is_about_orientation_pairing_not_unoriented_scalar_pairing,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_orientation_pairing_line_row_supplied
thom_sebastiani_cyclic_signs,orientation_line,orientation_cyclic_sign_squares,frobenius_pairing_rows.csv,orientation_cyclic_square,Thom_Sebastiani_and_Koszul_signs_in_cyclic_identity,orientation_Frobenius_identity_requires_signed_Picard_groupoid_squares,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_orientation_cyclic_sign_row_supplied
serre_sign_line,serre_duality,CY3_Serre_sign_line,frobenius_pairing_rows.csv,serre_sign_line,epsilon_CY3_gamma_supplied_and_cyclically_compatible,orientation_pairing_cyclic_signs_use_the_CY3_Serre_line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_Serre_sign_line_row_supplied
transition_radical_preservation,transition,radical_transition_rows,certificates/hall/transition_radical_preservation/pairing_transition.csv,pairing_transition,transition_preserves_Hopf_pairing_radical_and_quotient,Frobenius_pairing_must_be_stage_independent_on_the_radical_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_radical_transition_rows_supplied
pairing_kernel_lim1_vanishing,ml_exactness,pairing_kernel_ML_rows,certificates/hall/pairing_kernel_lim1_vanishing/pairing_kernel_ml_r1lim_defects.csv,ml_status,R1lim_zero_for_pairing_kernel_towers,pro_object_Frobenius_pairing_requires_Mittag_Leffler_control_on_pairing_kernels,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_pairing_kernel_ML_rows_supplied
orientation_transition_compatibility,transition,orientation_transition_rows,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,orientation_transition,Picard_groupoid_orientation_transport_preserves_cyclicity_squares,orientation_Frobenius_pairing_requires_transition_compatible_orientation_lines,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_orientation_transition_rows_supplied
source_trace_functional,trace,source_trace_functional,frobenius_pairing_rows.csv,trace_functional,trace_functional_without_row336_degree_computation,Frobenius_pairing_needs_a_trace_functional_even_before_its_degree_is_computed,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_source_trace_functional_row_supplied
row336_trace_degree,orientation,row_336_Frobenius_trace_degree,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_336,prove_Frobenius_trace_has_degree_minus_3,row335_records_Frobenius_criterion_but_not_trace_degree,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,row336_kept_separate
row337_serre_signs,orientation,row_337_CY3_Serre_signs,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_337,prove_signs_agree_with_CY3_Serre_duality,row335_uses_Serre_sign_line_but_does_not_compute_it,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,row337_kept_separate

