obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,lim1_status,proof_reference,check_status,notes
pbw_symbol_intertwining,transition,PBW symbol intertwining rows,pbw_graded_transition_maps.csv,symbol_intertwining,zero defect between transitioned symbols and symbols of transitioned generators,the associated-graded transition must be the PBW symbol map used by recognition,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/blocked_obligations.csv:15,verified,no PBW symbol intertwining rows supplied
a_beta_pbw_square,comparison,A_beta PBW comparison square,pbw_graded_transition_maps.csv,a_beta_pbw_square,zero defect for A_beta gr_PBW square with source and target transitions,the completed comparison map uses compatible PBW associated-graded towers,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/blocked_obligations.csv:16,verified,no A_beta PBW square row supplied
transition_functoriality,transition,PBW associated-graded transition functoriality,pbw_graded_ml_r1lim_defects.csv,functoriality_defect_zero,zero identity and composition defect rows for associated-graded transition maps,lim1 is not defined without a functorial inverse system,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/blocked_obligations.csv:17,verified,no PBW graded functoriality defect row supplied
image_subspace_rows,image_stabilization,image subspace rows,pbw_graded_image_stabilization.csv,image_subspace,explicit image basis inside each fixed base-window associated-graded piece,ML image stabilization must be checked as a subspace equality,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-graded-ml,verified,no image subspace rows supplied
image_stabilization_witness,image_stabilization,image stabilization witness,pbw_graded_image_stabilization.csv,image_stabilization,witness window after which all later associated-graded images equal the stabilized image,this is the finite matrix form of the Mittag-Leffler condition,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-graded-ml,verified,no image stabilization witness supplied
strict_ml_status,ml_exactness,strict Mittag-Leffler status row,pbw_graded_ml_r1lim_defects.csv,ml_status,strict_status=strict_verified and ml_status=ml_verified for each PBW associated-graded tower,the PBW associated-graded inverse limit needs a verified ML row,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:35,verified,no strict ML status row supplied
r1lim_zero_row,ml_exactness,zero R1lim row,pbw_graded_ml_r1lim_defects.csv,r1lim_zero,r1lim_rank equal to zero for every retained PBW associated-graded tower,this is row 198 and the exactness needed for PBW associated-graded inverse limits,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-graded-ml,verified,no R1lim zero row supplied
degreewise_exhaustion,coverage,degreewise PBW associated-graded coverage,pbw_graded_coverage.csv,degreewise_coverage,coverage row for every retained PBW degree Gram degree parity side and window,a narrow PBW degree or one charge cannot prove lim1 vanishing for all PBW associated gradeds,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-graded-ml,verified,no degreewise PBW coverage row supplied
comparison_graded_compatibility,comparison,target PBW associated-graded compatibility,pbw_graded_transition_maps.csv,comparison_graded_transition,comparison maps carry source associated-graded pieces to target associated-graded pieces,the completed recognition map uses compatible source-to-target PBW towers,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:40,verified,no comparison graded transition row supplied
no_scalar_pbw_graded_lim1_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_pbw_graded_lim1_substitution_excluded,excludes filteredness rank equality Hilbert series target PBW rows denominator products traces and transition preservation alone,prevents scalar shadows or pointwise PBW rows from being read as R1lim vanishing,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-graded-ml,verified,firewall rows supplied but PBW associated-graded ML data absent
